"id","專案區位","專案代碼","專案名稱","系統樹木","專案樹木","樹種編號","樹種名稱","X坐標","Y坐標","狀況","註記","樹木備註","樹高（公尺）","胸徑（公分）","調查備註","調查時間","碳儲存量","推估年碳吸存量"
"1","高雄港","6","港區植栽4區","7","7","0372","欖仁舅","120.28626775","22.617992209","正常","無",,"5.5","14",,"2022-11-21 00:00:00","74.28","6.04"
"2","高雄港","6","港區植栽4區","8","8","0373","欖仁","120.28636227","22.618119136","正常","無","無","4.5","9.6",,"2022-11-21 00:00:00","21.67","2.47"
"3","高雄港","6","港區植栽4區","9","9","0373","欖仁","120.28636795","22.618120957","正常","無",,"4.8","9",,"2022-11-21 00:00:00","20.31","2.46"
"4","高雄港","6","港區植栽4區","10","10","0373","欖仁","120.28636459","22.618109196","正常","無",,"5.5","15",,"2022-11-21 00:00:00","64.65","4.94"
"5","高雄港","6","港區植栽4區","11","11","0373","欖仁","120.28636769","22.618116005","正常","無",,"5.86","11",,"2022-11-21 00:00:00","37.04","3.74"
"6","高雄港","6","港區植栽4區","12","12","0373","欖仁","120.28609906","22.617962885","正常","無","無","5.22","11.4",,"2022-11-21 00:00:00","35.44","3.46"
"7","高雄港","6","港區植栽4區","13","13","0373","欖仁","120.28610555","22.617960841","正常","無","無","4.55","9.3",,"2022-11-21 00:00:00","20.56","2.41"
"8","高雄港","6","港區植栽4區","14","14","0373","欖仁","120.28616794","22.618005604","正常","無","無","5.8","12.8",,"2022-11-21 00:00:00","49.65","4.37"
"9","高雄港","6","港區植栽4區","15","15","0013","大葉山欖","120.2861687","22.618005565","正常","無","無","5.74","10.5",,"2022-11-21 00:00:00","35.34","3.72"
"10","高雄港","6","港區植栽4區","16","16","0013","大葉山欖","120.2861687","22.618005565","正常","無","無","5.3","9.1",,"2022-11-21 00:00:00","24.51","2.93"
"11","高雄港","6","港區植栽4區","17","17","0013","大葉山欖","120.28617281","22.617990352","正常","無",,"5","7.9",,"2022-11-21 00:00:00","17.43","2.37"
"12","高雄港","6","港區植栽4區","19","19","0013","大葉山欖","120.28634008","22.617915456","正常","無",,"4.81","12.2",,"2022-11-21 00:00:00","39.98","3.68"
"13","高雄港","6","港區植栽4區","18","18","0013","大葉山欖","120.28620871","22.617878317","正常","無",,"4.5","9.1",,"2022-11-21 00:00:00","20.81","2.49"
"14","高雄港","5","港區植栽3區","20","20","0144","洋紅風鈴木","120.28428091","22.618432922","正常","無",,"7.98","23.6",,"2022-11-21 00:00:00","249.97","12.76"
"15","高雄港","5","港區植栽3區","22","22","0144","洋紅風鈴木","120.28406038","22.618531958","正常","無",,"8","23.3",,"2022-11-21 00:00:00","244.27","12.61"
"16","高雄港","5","港區植栽3區","23","23","0144","洋紅風鈴木","120.28377331","22.618571573","正常","無",,"8.5","19.6",,"2022-11-21 00:00:00","183.65","11.06"
"17","高雄港","5","港區植栽3區","24","24","0060","水黃皮","120.28367272","22.618616139","正常","無",,"7.2","35.6",,"2022-11-21 00:00:00","711.74","25.25"
"18","高雄港","5","港區植栽3區","25","25","0060","水黃皮","120.28354671","22.618674323","正常","無",,"5.48","25.3",,"2022-11-21 00:00:00","273.6","13.13"
"19","高雄港","5","港區植栽3區","28","28","0060","水黃皮","120.28342332","22.618731269","正常","無",,"8.09","37",,"2022-11-21 00:00:00","863.86","29.61"
"20","高雄港","5","港區植栽3區","29","29","0060","水黃皮","120.28331469","22.618786977","正常","無",,"7.4","34.5",,"2022-11-21 00:00:00","687","25.06"
"21","高雄港","5","港區植栽3區","30","30","0060","水黃皮","120.28320738","22.618853826","正常","無",,"6.92","31.5",,"2022-11-21 00:00:00","535.57","21.17"
"22","高雄港","5","港區植栽3區","31","31","0060","水黃皮","120.2830166","22.618940483","正常","無",,"8.52","32",,"2022-11-21 00:00:00","680.5","26.53"
"23","高雄港","5","港區植栽3區","32","32","0060","水黃皮","120.28268118","22.619087211","正常","無","無","7.7","44.1",,"2022-11-21 00:00:00","1168.04","34.28"
"24","高雄港","5","港區植栽3區","33","33","0060","水黃皮","120.2822686","22.619269777","正常","無",,"7.8","36.1",,"2022-11-21 00:00:00","792.86","27.78"
"25","高雄港","5","港區植栽3區","34","34","0060","水黃皮","120.28186621","22.619460421","正常","無",,"7.2","21.2","dbh=25.6","2022-11-21 00:00:00","252.4","14.18"
"26","高雄港","5","港區植栽3區","36","36","0060","水黃皮","120.28211311","22.61934653","正常","無",,"7.94","24.6",,"2022-11-21 00:00:00","374.78","18.45"
"27","高雄港","5","港區植栽3區","37","37","0060","水黃皮","120.28244556","22.619188073","正常","無",,"5.91","23.6",,"2022-11-21 00:00:00","256.74","13.11"
"28","高雄港","5","港區植栽3區","40","40","0060","水黃皮","120.28217748","22.619311868","正常","無",,"10.12","42.4",,"2022-11-21 00:00:00","1419.06","43.13"
"29","高雄港","5","港區植栽3區","42","42","0060","水黃皮","120.28205934","22.619378717","正常","無",,"6.85","22.9",,"2022-11-21 00:00:00","280.19","14.69"
"30","高雄港","5","港區植栽3區","44","44","0060","水黃皮","120.28198158","22.619408428","正常","無",,"7.8","45",,"2022-11-21 00:00:00","1232","35.52"
"31","高雄港","14","港區植栽12區","47","47","0181","海檬果","120.29980078","22.57122313","正常","無",,"7.31","21.1",,"2022-11-21 00:00:00","137.75","7.77"
"32","高雄港","14","港區植栽12區","48","48","0181","海檬果","120.29986917","22.571267402","正常","無",,"5.16","12.9","上移10公分","2022-11-21 00:00:00","36.34","3.18"
"33","高雄港","14","港區植栽12區","49","49","0256","黑板樹","120.29997915","22.571359661","正常","無","無","12.8","45.6",,"2022-11-21 00:00:00","1138.81","32.45"
"34","高雄港","14","港區植栽12區","51","51","0255","黃槿","120.2997297","22.571175142","正常","無","無","9.16","42.8",,"2022-11-21 00:00:00","785.99","23.69"
"35","高雄港","14","港區植栽12區","52","52","0268","榕樹","120.29967337","22.571136752","正常","無","無","8.15","27.8","分枝 23.2","2022-11-21 00:00:00","263.53","11.63"
"36","高雄港","14","港區植栽12區","27","27","0181","海檬果","120.29930323","22.570891243","正常","無",,"5.45","14.3",,"2022-11-21 00:00:00","47.17","3.76"
"37","高雄港","14","港區植栽12區","50","50","0181","海檬果","120.29989734","22.571270498","正常","無","無","8.19","28.2",,"2022-11-21 00:00:00","275.67","12.01"
"38","高雄港","14","港區植栽12區","35","35","0181","海檬果","120.29941521","22.570959354","正常","無",,"6.38","23.5",,"2022-11-21 00:00:00","149.13","7.64"
"39","高雄港","14","港區植栽12區","26","26","0181","海檬果","120.29933877","22.570916011","正常","無",,"5.96","17.1",,"2022-11-21 00:00:00","73.76","5.02"
"40","高雄港","14","港區植栽12區","46","46","0181","海檬果","120.29969751","22.571145421","正常","無",,"5.56","17.1",,"2022-11-21 00:00:00","68.81","4.68"
"41","高雄港","14","港區植栽12區","38","38","0181","海檬果","120.29947891","22.570995577","正常","無",,"6.7","22.1",,"2022-11-21 00:00:00","138.5","7.5"
